"Name","Brewery","Rating","Link","Style","Locations","Num Reviews","Light","Dark","Fruit","Sweet","Carbonation","Bitter","Spice"
"Lips Of Faith","Cocoa Molé","89","http://beeradvocate.com/beer/profile/192/77601/?sort=topr","Chile Beer","{'Wyoming': 1, 'Minnesota': 2, 'Illinois': 5, 'Indiana': 2, 'Maryland': 7, 'Texas': 5, 'Ontario (Canada)': 1, 'Australia': 1, 'Wisconsin': 1, 'Michigan': 1, 'Kansas': 1, 'Utah': 1, 'Virginia': 4, 'Oregon': 1, 'Connecticut': 1, 'Montana': 1, 'California': 13, 'Massachusetts': 3, 'South Carolina': 3, 'Georgia': 5, 'Pennsylvania': 3, 'Finland': 1, 'Florida': 5, 'Kentucky': 1, 'Nebraska': 1, 'Missouri': 2, 'Ohio': 3, 'Alabama': 1, 'Colorado': 4, 'New Jersey': 3, 'Washington': 3, 'North Carolina': 3, 'New York': 4, 'District of Columbia': 1}","100","220","320","49","495","211","45","473"
"Mole Stout","Ska Brewing Co.","82","http://beeradvocate.com/beer/profile/923/85468/?sort=topr","Chile Beer","{'Georgia': 1, 'Colorado': 8, 'Pennsylvania': 1, 'Oklahoma': 2, 'Kansas': 2, 'Florida': 3, 'North Carolina': 6, 'Illinois': 7, 'New Jersey': 3, 'Sweden': 2, 'New York': 1, 'Missouri': 4, 'Nevada': 1, 'Texas': 10}","55","110","245","23","253","138","36","237"
"Rio Grande Pancho Verde Chile Cerveza","Sierra Blanca Brewing Company (Rio Grande)","78","http://beeradvocate.com/beer/profile/3239/55779/?sort=topr","Chile Beer","{'Korea (North)': 1, 'Arizona': 5, 'Georgia': 1, 'Colorado': 2, 'Pennsylvania': 1, 'Oklahoma': 3, 'Kansas': 1, 'Minnesota': 1, 'North Carolina': 1, 'Illinois': 1, 'Nebraska': 1, 'California': 2, 'New Mexico': 1, 'Maryland': 1, 'Nevada': 1, 'Texas': 3, 'Massachusetts': 2}","28","155","9","24","34","55","16","38"
"Billy's Chilies Beer (Timberline Series)","Twisted Pine Brewing Company","78","http://beeradvocate.com/beer/profile/23/28348/?sort=topr","Chile Beer","{'Vermont': 1, 'Colorado': 15, 'Pennsylvania': 3, 'Oklahoma': 1, 'Florida': 8, 'Mississippi': 1, 'North Carolina': 2, 'Illinois': 1, 'Massachusetts': 1, 'California': 1, 'Oregon': 1, 'Missouri': 9, 'Ohio': 4, 'Alabama': 1, 'Louisiana': 1, 'Texas': 7, 'Ontario (Canada)': 1}","58","279","41","30","90","114","28","181"
"Ghost Face Killah","Twisted Pine Brewing Company","74","http://beeradvocate.com/beer/profile/23/65230/?sort=topr","Chile Beer","{'Minnesota': 4, 'Illinois': 11, 'Ohio': 2, 'Maryland': 1, 'Louisiana': 2, 'Texas': 6, 'Ontario (Canada)': 1, 'Iowa': 1, 'Virginia': 4, 'Connecticut': 2, 'New York': 6, 'California': 6, 'Massachusetts': 4, 'South Carolina': 1, 'Vermont': 1, 'Georgia': 2, 'Pennsylvania': 7, 'Florida': 7, 'Rhode Island': 2, 'Nebraska': 3, 'Missouri': 4, 'Wisconsin': 1, 'Colorado': 11, 'New Jersey': 2, 'Saskatchewan (Canada)': 1, 'Washington': 2, 'North Carolina': 1, 'District of Columbia': 1, 'Montana': 1, 'British Columbia (Canada)': 1}","100","347","54","61","92","208","35","354"
"Chili Pepper Ale","Six Rivers Brewery","74","http://beeradvocate.com/beer/profile/4317/38842/?sort=topr","Chile Beer","{'Georgia': 1, 'Virginia': 1, 'Minnesota': 5, 'Oregon': 2, 'Illinois': 1, 'District of Columbia': 1, 'California': 14, 'Maryland': 1}","26","84","19","35","21","49","6","90"
"Hacker-Pschorr Kristall Weisse","Hacker-Pschorr Bräu GmbH","86","http://beeradvocate.com/beer/profile/76/873/?sort=topr","Kristalweizen","{'Georgia': 1, 'Iowa': 1, 'New Jersey': 1, 'Michigan': 1, 'Wyoming': 1, 'Florida': 2, 'Minnesota': 3, 'Oregon': 1, 'Arizona': 2, 'California': 4, 'Massachusetts': 4, 'Indiana': 1, 'Wisconsin': 1, 'Nevada': 2, 'Texas': 3}","28","169","46","91","69","75","37","36"
"Schöfferhofer Kristallweizen","Binding-Brauerei AG","81","http://beeradvocate.com/beer/profile/290/4768/?sort=topr","Kristalweizen","{'Brazil': 1, 'Singapore': 1, 'Australia': 11, 'Wisconsin': 1, 'South Africa': 1, 'Michigan': 1, 'Finland': 1, 'Washington': 1, 'Virginia': 1, 'Illinois': 3, 'Kansas': 1, 'California': 1, 'Texas': 1, 'Missouri': 2, 'Germany': 2, 'Ohio': 1, 'Minnesota': 1, 'United Kingdom (England)': 1, 'Spain': 1, 'Ontario (Canada)': 1}","34","205","21","122","54","97","23","43"
"Leinenkugel's Honey Weiss","Jacob Leinenkugel Brewing Company","69","http://beeradvocate.com/beer/profile/710/2958/?sort=topr","Kristalweizen","{'Alberta (Canada)': 1, 'Delaware': 1, 'Minnesota': 12, 'Illinois': 18, 'Indiana': 3, 'Texas': 3, 'Arizona': 1, 'Wisconsin': 8, 'Michigan': 7, 'Utah': 1, 'Virginia': 3, 'Montana': 1, 'California': 1, 'Massachusetts': 1, 'South Carolina': 1, 'Georgia': 2, 'Pennsylvania': 13, 'Kentucky': 1, 'Missouri': 3, 'Ohio': 4, 'New York': 4, 'Colorado': 1, 'New Jersey': 2, 'Tennessee': 1, 'United Kingdom (England)': 1, 'Nevada': 2, 'Maine': 1}","100","645","49","127","401","218","83","12"
"Franziskaner Club-Weisse Kristalklar","Spaten-Franziskaner-Bräu","84","http://beeradvocate.com/beer/profile/142/904/?sort=topr","Kristalweizen","{'Panama': 1, 'France': 1, 'New Mexico': 1, 'Ireland': 1, 'Indiana': 2, 'Louisiana': 1, 'Texas': 9, 'Australia': 3, 'United Kingdom (Scotland)': 1, 'Singapore': 1, 'Norway': 1, 'Michigan': 1, 'Virginia': 2, 'Oregon': 4, 'Connecticut': 4, 'Tennessee': 1, 'California': 9, 'Massachusetts': 3, 'South Carolina': 1, 'Spain': 1, 'Georgia': 3, 'Pennsylvania': 5, 'Florida': 1, 'Kentucky': 1, 'United Kingdom (Northern Ireland)': 1, 'Arizona': 3, 'Ohio': 4, 'Illinois': 3, 'Portugal': 1, 'New Jersey': 5, 'Washington': 1, 'North Carolina': 3, 'Nebraska': 1, 'New York': 5, 'Colombia': 1, 'United Kingdom (England)': 2, 'Nevada': 2, 'Maine': 1}","91","493","63","221","105","205","70","113"
"Laughing Fox","New Glarus Brewing Company","87","http://beeradvocate.com/beer/profile/590/72382/?sort=topr","Kristalweizen","{'Missouri': 1, 'Minnesota': 17, 'Illinois': 20, 'Indiana': 3, 'Maryland': 2, 'Texas': 1, 'Ontario (Canada)': 1, 'Iowa': 3, 'Wisconsin': 18, 'Michigan': 1, 'Virginia': 2, 'Connecticut': 2, 'New York': 1, 'New Hampshire': 1, 'Massachusetts': 2, 'South Carolina': 1, 'California': 3, 'Vermont': 1, 'Georgia': 1, 'Pennsylvania': 2, 'Florida': 1, 'District of Columbia': 1, 'Ohio': 6, 'Colorado': 3, 'New Jersey': 1, 'Washington': 1, 'North Carolina': 1, 'Tennessee': 1}","100","480","206","375","266","304","46","277"
"Bayern Dancing Trout Ale","Bayern Brewing, Inc.","76","http://beeradvocate.com/beer/profile/605/38518/?sort=topr","Kristalweizen","{'Georgia': 1, 'Arizona': 1, 'Iowa': 2, 'Pennsylvania': 2, 'Alberta (Canada)': 1, 'Wyoming': 1, 'Washington': 4, 'Minnesota': 1, 'Oregon': 5, 'Illinois': 3, 'Oklahoma': 1, 'Nebraska': 1, 'New Mexico': 1, 'Missouri': 1, 'South Carolina': 1, 'Texas': 1, 'Ontario (Canada)': 1, 'Maryland': 1, 'Idaho': 2, 'Massachusetts': 1}","32","211","26","89","97","65","68","20"
"Crystal Weiss","Spanish Peaks Brewing Co.","76","http://beeradvocate.com/beer/profile/419/42120/?sort=topr","Kristalweizen","{'Mississippi': 1, 'Wyoming': 1, 'Minnesota': 2, 'Illinois': 1, 'Maryland': 2, 'Texas': 1, 'Ontario (Canada)': 1, 'Iowa': 1, 'Michigan': 1, 'Virginia': 2, 'Connecticut': 1, 'California': 4, 'Massachusetts': 1, 'New Hampshire': 1, 'Georgia': 2, 'Pennsylvania': 1, 'Florida': 1, 'Rhode Island': 1, 'Missouri': 2, 'Ohio': 2, 'New Jersey': 1, 'New York': 4}","34","182","33","94","83","80","75","13"
"Maisel's Weisse Kristall","Brauerei Gebrüder Maisel GmbH &amp; Co.","82","http://beeradvocate.com/beer/profile/585/2822/?sort=topr","Kristalweizen","{'Illinois': 2, 'Indiana': 1, 'Texas': 1, 'Ontario (Canada)': 1, 'Australia': 5, 'Iowa': 1, 'Kansas': 1, 'Virginia': 1, 'Connecticut': 2, 'California': 1, 'South Carolina': 3, 'Spain': 1, 'Netherlands': 1, 'Pennsylvania': 1, 'Quebec (Canada)': 1, 'France': 2, 'Romania': 1, 'New Jersey': 1, 'North Carolina': 9, 'New York': 1, 'United Kingdom (England)': 2, 'Maine': 1}","40","224","41","99","54","100","28","44"
"Weihenstephaner Kristallweissbier","Bayerische Staatsbrauerei Weihenstephan","90","http://beeradvocate.com/beer/profile/252/760/?sort=topr","Kristalweizen","{'Oklahoma': 1, 'Illinois': 3, 'Indiana': 2, 'Louisiana': 2, 'Texas': 3, 'Ontario (Canada)': 15, 'Australia': 4, 'Iowa': 1, 'Arizona': 1, 'Michigan': 4, 'Kansas': 2, 'Virginia': 3, 'Oregon': 2, 'Connecticut': 1, 'Tennessee': 2, 'California': 7, 'Massachusetts': 5, 'West Virginia': 1, 'Wisconsin': 1, 'Georgia': 2, 'Pennsylvania': 5, 'Quebec (Canada)': 1, 'Florida': 1, 'Rhode Island': 1, 'Nebraska': 1, 'Missouri': 4, 'Ohio': 1, 'Colorado': 3, 'New Jersey': 7, 'North Carolina': 1, 'New York': 5, 'United Kingdom (England)': 2, 'Nevada': 1, 'Maine': 4}","100","836","145","368","170","375","97","249"
"Erdinger Weissbier Kristallklar","Erdinger Weissbräu","81","http://beeradvocate.com/beer/profile/703/3653/?sort=topr","Kristalweizen","{'Oklahoma': 2, 'New Hampshire': 1, 'Illinois': 6, 'Indiana': 3, 'Maryland': 3, 'Texas': 4, 'Ontario (Canada)': 1, 'Australia': 8, 'Wisconsin': 3, 'United Kingdom (Scotland)': 1, 'Michigan': 1, 'Kansas': 1, 'Virginia': 2, 'Oregon': 1, 'Connecticut': 1, 'District of Columbia': 1, 'California': 11, 'Idaho': 1, 'South Carolina': 1, 'Thailand': 1, 'Alberta (Canada)': 1, 'Massachusetts': 3, 'Netherlands': 1, 'Pennsylvania': 4, 'Finland': 1, 'Florida': 1, 'Kentucky': 2, 'Rhode Island': 2, 'Sweden': 4, 'Nebraska': 1, 'China': 1, 'Missouri': 2, 'Ohio': 1, 'Alabama': 1, 'United Kingdom (Northern Ireland)': 1, 'Colorado': 2, 'New Jersey': 4, 'Washington': 1, 'North Carolina': 5, 'Austria': 1, 'New York': 7, 'Japan': 1}","100","748","99","278","204","309","97","106"
"Matilda Bay Redback Original","Matilda Bay Brewing Co.","79","http://beeradvocate.com/beer/profile/1480/3892/?sort=topr","Kristalweizen","{'Australia': 26, 'Singapore': 1, 'Connecticut': 1, 'Massachusetts': 3, 'Missouri': 1, 'United Kingdom (England)': 1, 'Louisiana': 1}","34","186","22","81","64","86","41","36"
"Paulaner Weissbier Kristallklar","Paulaner Brauerei GmbH &amp; Co. KG","81","http://beeradvocate.com/beer/profile/124/3764/?sort=topr","Kristalweizen","{'Brazil': 1, 'Austria': 1, 'Netherlands': 3, 'United Kingdom (Scotland)': 1, 'Mexico': 2, 'Pennsylvania': 1, 'Finland': 1, 'Singapore': 1, 'South Africa': 1, 'Kansas': 1, 'Sweden': 5, 'Massachusetts': 1, 'Japan': 1, 'United Kingdom (England)': 1, 'France': 2, 'Norway': 1, 'Spain': 2}","26","145","36","71","53","74","19","30"
"Tucher Kristall Weizen","Brauerei Tucher Brau","85","http://beeradvocate.com/beer/profile/129/372/?sort=topr","Kristalweizen","{'Oklahoma': 1, 'Minnesota': 2, 'Illinois': 12, 'Indiana': 1, 'Texas': 1, 'Iowa': 3, 'Michigan': 5, 'Virginia': 4, 'Tennessee': 1, 'California': 14, 'Massachusetts': 2, 'South Carolina': 4, 'Germany': 1, 'Georgia': 8, 'Pennsylvania': 1, 'Florida': 8, 'Kentucky': 3, 'Russian Federation': 1, 'China': 1, 'Missouri': 3, 'Ohio': 4, 'Alabama': 1, 'Colorado': 1, 'Mexico': 2, 'New Jersey': 2, 'North Carolina': 5, 'New York': 4, 'Montana': 1, 'Greece': 1, 'United Kingdom (England)': 1, 'Nevada': 1}","100","693","100","302","129","271","93","128"
"Apollo","Sixpoint","88","http://beeradvocate.com/beer/profile/10607/80745/?sort=topr","Kristalweizen","{'Minnesota': 1, 'Illinois': 7, 'Indiana': 3, 'Maryland': 6, 'Louisiana': 1, 'Texas': 1, 'Ontario (Canada)': 2, 'Wisconsin': 1, 'Michigan': 1, 'Virginia': 6, 'Oregon': 1, 'Connecticut': 5, 'Montana': 1, 'New Hampshire': 1, 'Massachusetts': 5, 'West Virginia': 1, 'California': 3, 'Vermont': 1, 'Pennsylvania': 14, 'Kentucky': 5, 'Rhode Island': 3, 'Missouri': 1, 'Ohio': 5, 'Alabama': 1, 'New York': 11, 'New Jersey': 4, 'Washington': 3, 'North Carolina': 2, 'District of Columbia': 1}","100","611","150","556","161","306","73","178"
"Iron Throne","Brewery Ommegang","85","http://beeradvocate.com/beer/profile/42/91497/?sort=topr","Belgian Pale Ale","{'Minnesota': 1, 'Illinois': 4, 'Maryland': 1, 'Louisiana': 1, 'Korea (North)': 1, 'Michigan': 1, 'Connecticut': 3, 'District of Columbia': 2, 'California': 5, 'Massachusetts': 6, 'South Carolina': 2, 'Pennsylvania': 3, 'Florida': 1, 'Kentucky': 1, 'Ohio': 3, 'Alabama': 1, 'Colorado': 1, 'New Jersey': 2, 'Washington': 4, 'North Carolina': 3, 'New York': 11, 'British Columbia (Canada)': 1}","58","417","115","259","194","197","131","159"
"Raftman","Unibroue","87","http://beeradvocate.com/beer/profile/22/793/?sort=topr","Belgian Pale Ale","{'Alberta (Canada)': 5, 'Minnesota': 1, 'Illinois': 3, 'New Brunswick (Canada)': 1, 'Indiana': 1, 'Maryland': 3, 'Texas': 1, 'Ontario (Canada)': 13, 'Korea (North)': 1, 'Australia': 4, 'Michigan': 1, 'Kansas': 1, 'Virginia': 4, 'Oregon': 1, 'California': 17, 'Massachusetts': 2, 'West Virginia': 1, 'South Carolina': 2, 'Georgia': 4, 'Manitoba (Canada)': 1, 'Pennsylvania': 3, 'Quebec (Canada)': 2, 'Florida': 4, 'Nova Scotia (Canada)': 1, 'Arizona': 1, 'Missouri': 1, 'Ohio': 3, 'Colorado': 2, 'Idaho': 1, 'Washington': 4, 'North Carolina': 2, 'New York': 4, 'Maine': 1, 'British Columbia (Canada)': 4}","100","408","193","374","339","256","80","143"
"La Trappe Blond (Koningshoeven / Dominus)","Bierbrouwerij De Koningshoeven B.V.","84","http://beeradvocate.com/beer/profile/184/590/?sort=topr","Belgian Pale Ale","{'Iowa': 1, 'Czech Republic': 1, 'Minnesota': 1, 'New Mexico': 1, 'Indiana': 2, 'Maryland': 2, 'Norway': 1, 'Texas': 2, 'Ontario (Canada)': 5, 'Australia': 16, 'Wisconsin': 1, 'United Kingdom (Scotland)': 2, 'Louisiana': 1, 'Michigan': 3, 'Virginia': 3, 'Oregon': 1, 'Slovenia': 1, 'Connecticut': 1, 'New York': 5, 'California': 2, 'Massachusetts': 2, 'Russian Federation': 1, 'Germany': 1, 'Spain': 2, 'Vermont': 1, 'Netherlands': 6, 'Pennsylvania': 2, 'Quebec (Canada)': 3, 'Florida': 1, 'Kentucky': 2, 'Rhode Island': 1, 'Belgium': 1, 'Sweden': 2, 'Nebraska': 1, 'Thailand': 1, 'Switzerland': 1, 'Ohio': 5, 'United Kingdom (Northern Ireland)': 1, 'Mexico': 2, 'New Jersey': 2, 'Washington': 1, 'District of Columbia': 2, 'Iceland': 1, 'United Kingdom (England)': 5, 'British Columbia (Canada)': 1}","100","465","130","393","363","280","148","98"
"White Birch Belgian Style Pale Ale","White Birch Brewing","81","http://beeradvocate.com/beer/profile/20417/51844/?sort=topr","Belgian Pale Ale","{'Minnesota': 3, 'Illinois': 2, 'Indiana': 1, 'Maryland': 1, 'Idaho': 1, 'Wisconsin': 1, 'Utah': 1, 'Virginia': 3, 'District of Columbia': 3, 'California': 5, 'Massachusetts': 17, 'South Carolina': 1, 'New Hampshire': 11, 'Vermont': 3, 'Pennsylvania': 14, 'Kentucky': 1, 'Rhode Island': 1, 'New Jersey': 2, 'Saskatchewan (Canada)': 1, 'Washington': 1, 'New York': 8, 'Maine': 4}","85","615","91","396","196","229","184","104"
"Liquid Gold","Captain Lawrence Brewing Co.","88","http://beeradvocate.com/beer/profile/12959/28179/?sort=topr","Belgian Pale Ale","{'Tennessee': 1, 'Colorado': 1, 'New Jersey': 13, 'Michigan': 1, 'Washington': 2, 'Virginia': 2, 'Illinois': 4, 'Pennsylvania': 6, 'Connecticut': 11, 'New York': 39, 'California': 5, 'Massachusetts': 8, 'District of Columbia': 1, 'Ohio': 1, 'South Carolina': 1, 'Indiana': 1, 'Rhode Island': 1, 'Maine': 1}","100","708","146","381","245","247","206","266"
"Orval Trappist Ale","Brasserie d'Orval S.A.","94","http://beeradvocate.com/beer/profile/37/129/?sort=topr","Belgian Pale Ale","{'Afghanistan': 1, 'Alberta (Canada)': 1, 'Minnesota': 1, 'Illinois': 5, 'New Mexico': 1, 'Indiana': 4, 'Maryland': 3, 'Louisiana': 1, 'Texas': 3, 'Ontario (Canada)': 5, 'Australia': 2, 'Wisconsin': 4, 'Michigan': 2, 'Kansas': 1, 'Virginia': 1, 'Connecticut': 1, 'District of Columbia': 1, 'California': 10, 'Idaho': 1, 'West Virginia': 2, 'Belgium': 1, 'New Hampshire': 2, 'Massachusetts': 4, 'Netherlands': 2, 'Pennsylvania': 4, 'Quebec (Canada)': 1, 'Florida': 2, 'Kentucky': 1, 'Rhode Island': 3, 'South Carolina': 1, 'Sweden': 1, 'Missouri': 3, 'Ohio': 1, 'South Dakota': 1, 'Colorado': 2, 'New Jersey': 1, 'Russian Federation': 1, 'New York': 6, 'Japan': 1, 'United Kingdom (England)': 1, 'Maine': 1}","100","453","181","477","243","305","238","108"
"Brugse Zot","Brouwerij Straffe Hendrik / Huisbrouwerij De Halve Maan","82","http://beeradvocate.com/beer/profile/268/25130/?sort=topr","Belgian Pale Ale","{'Mississippi': 1, 'Italy': 1, 'Illinois': 7, 'Indiana': 1, 'Maryland': 4, 'Texas': 7, 'Ontario (Canada)': 3, 'Korea (North)': 1, 'Wisconsin': 2, 'Utah': 1, 'Virginia': 3, 'Oregon': 1, 'Connecticut': 1, 'New York': 4, 'California': 14, 'Massachusetts': 5, 'South Carolina': 2, 'Jordan': 1, 'Germany': 1, 'Spain': 1, 'Vermont': 1, 'Netherlands': 5, 'Pennsylvania': 4, 'Poland': 1, 'Florida': 2, 'Alaska': 1, 'Rhode Island': 1, 'Belgium': 3, 'Nebraska': 1, 'Switzerland': 1, 'Ohio': 3, 'Alabama': 2, 'France': 1, 'Mexico': 1, 'New Jersey': 2, 'Washington': 2, 'North Carolina': 3, 'Tennessee': 1, 'United Kingdom (England)': 2, 'Nevada': 1, 'British Columbia (Canada)': 1}","100","558","120","366","270","272","174","111"
"It's Alright!","Mikkeller ApS","70","http://beeradvocate.com/beer/profile/13307/47562/?sort=topr","Belgian Pale Ale","{'Alberta (Canada)': 1, 'Minnesota': 4, 'France': 1, 'Indiana': 3, 'Maryland': 2, 'Ontario (Canada)': 2, 'Australia': 4, 'Wisconsin': 2, 'United Kingdom (Scotland)': 2, 'Michigan': 2, 'Virginia': 1, 'Oregon': 1, 'Connecticut': 2, 'New York': 8, 'California': 23, 'Massachusetts': 3, 'South Carolina': 2, 'Vermont': 1, 'Georgia': 1, 'Pennsylvania': 8, 'Florida': 1, 'Kentucky': 2, 'Rhode Island': 1, 'Missouri': 1, 'Ohio': 2, 'Alabama': 2, 'Illinois': 6, 'Colorado': 2, 'New Jersey': 6, 'Washington': 3, 'Tennessee': 1}","100","592","82","419","101","283","142","31"
"Bière Du Boucanier Red","Brouwerij Van Steenberge N.V.","86","http://beeradvocate.com/beer/profile/48/20237/?sort=topr","Belgian Pale Ale","{'Mississippi': 1, 'Iowa': 4, 'Czech Republic': 1, 'Illinois': 1, 'Indiana': 1, 'Texas': 3, 'Louisiana': 1, 'Idaho': 1, 'Ontario (Canada)': 26, 'Arizona': 1, 'Wisconsin': 1, 'Michigan': 2, 'Virginia': 1, 'Oregon': 1, 'Connecticut': 1, 'New York': 3, 'California': 14, 'Massachusetts': 2, 'South Carolina': 2, 'New Hampshire': 1, 'Yukon (Canada)': 1, 'Georgia': 2, 'Pennsylvania': 2, 'Quebec (Canada)': 1, 'Florida': 1, 'Hawaii': 1, 'Kentucky': 1, 'Rhode Island': 1, 'Missouri': 1, 'Ohio': 10, 'New Jersey': 2, 'Washington': 4, 'North Carolina': 2, 'Tennessee': 1, 'Japan': 1, 'British Columbia (Canada)': 1}","100","340","175","510","378","236","104","146"
