Name,Brewery,Rating,Link,Style,Light,Dark,Fruit,Sweet,Carbonation,Bitter,Spice
Wild Blue,Anheuser-Busch,52,http://beeradvocate.com/beer/profile/29/26049/?sort=topr,Fruit / Vegetable Beer,-0.109645369,0.217392452,0.24887174,0.021172277,0.703349854,-0.589143016,-1
Original C Cave Creek Chili Beer,Cerveza Con Chili,52,http://beeradvocate.com/beer/profile/677/38763/?sort=topr,Chile Beer,0.928249569,-0.6030242,-0.868366615,-0.556012053,1.356412842,-0.897923731,2.102366901
Milwaukee's Best Ice,Miller Brewing Co.,52,http://beeradvocate.com/beer/profile/105/1484/?sort=topr,American Adjunct Lager,1.315402015,-0.791304151,-1,-0.424809085,0.539651297,-0.315797349,-0.893633135
Beer 30 Light,Melanie Brewing Company,52,http://beeradvocate.com/beer/profile/1422/32918/?sort=topr,Light Lager,1.181134759,-0.680683947,-0.131435452,-0.545614209,0.624655599,-0.711341697,-1
Red Dog,Miller Brewing Co.,52,http://beeradvocate.com/beer/profile/105/1207/?sort=topr,American Adjunct Lager,1.125456912,-0.8015121,-0.950637481,-0.238877806,0.338105864,-0.157870778,-0.898835862
King Cobra Premium Malt Liquor,Anheuser-Busch,52,http://beeradvocate.com/beer/profile/29/66/?sort=topr,American Malt Liquor,0.950516825,-0.74336051,-0.459947356,-0.006426974,0.355983668,-0.695426483,-0.79876539
Ed Hardy Premium Beer,Cervecera Mexicana S.A. De C.V.,52,http://beeradvocate.com/beer/profile/11174/52817/?sort=topr,American Adjunct Lager,1.205056539,-0.804172796,-0.56169259,-0.378144802,0.569257238,-0.527931462,-1
Icehouse,Miller Brewing Co.,52,http://beeradvocate.com/beer/profile/105/1299/?sort=topr,American Adjunct Lager,0.936059761,-0.692638539,-0.685252847,-0.35003179,0.471841458,-0.058573813,-0.907850488
Hurricane Malt Liquor,Anheuser-Busch,53,http://beeradvocate.com/beer/profile/29/2186/?sort=topr,American Malt Liquor,0.755781499,-0.787938089,-0.5312153,0.058819181,0.468577294,-0.409274751,-1
Miller Lite,Miller Brewing Co.,53,http://beeradvocate.com/beer/profile/105/332/?sort=topr,Light Lager,1.38195535,-0.813187859,-0.883852896,-0.574667009,0.473253071,-0.189394331,-1
Raspberry Ale,Indian Wells Brewing Company,54,http://beeradvocate.com/beer/profile/619/43360/?sort=topr,Fruit / Vegetable Beer,0.505850978,-0.251963674,0.313161961,-0.551809069,0.902975741,-0.490848488,-1
Camo Black Ice,Camo Brewing Company,54,http://beeradvocate.com/beer/profile/881/34487/?sort=topr,American Malt Liquor,0.676301678,-0.214585515,-0.283801153,-0.168630865,0.665053621,-0.79804265,-1
Lucky Lager,Labatt Brewing Company Ltd.,54,http://beeradvocate.com/beer/profile/478/16247/?sort=topr,American Adjunct Lager,1.047895647,-0.675362013,-0.826996123,-0.388685984,0.917190312,-0.441010906,-0.881814594
Bud Light Lime,Anheuser-Busch,54,http://beeradvocate.com/beer/profile/29/41821/?sort=topr,Light Lager,1.238583604,-0.893832054,-0.60395188,-0.567443637,1.187706208,-0.63145719,-1
O'Doul's,Anheuser-Busch,54,http://beeradvocate.com/beer/profile/29/5727/?sort=topr,Low Alcohol Beer,1.346185532,-0.793662296,-0.871713227,-0.456034138,0.443516826,-0.323528452,-1
Labatt Blue Light,Labatt Brewing Company Ltd.,54,http://beeradvocate.com/beer/profile/478/1823/?sort=topr,Light Lager,1.386386506,-0.782843509,-0.828165068,-0.538698238,0.50664852,-0.390852966,-0.79876539
Game Day Ice,"City Brewing Company, LLC",55,http://beeradvocate.com/beer/profile/782/57899/?sort=topr,American Adjunct Lager,0.975417412,-0.735987179,-0.379895741,-0.279379288,0.716409492,-0.603993268,-1
Michelob Ultra Fruit Pomegranate Raspberry,Anheuser-Busch,55,http://beeradvocate.com/beer/profile/29/36327/?sort=topr,Light Lager,0.82945591,-0.683337223,0.155025886,-0.380213358,0.987092315,-0.857506248,-1
Miller Genuine Draft,Miller Brewing Co.,55,http://beeradvocate.com/beer/profile/105/2280/?sort=topr,American Adjunct Lager,1.358657909,-0.852649905,-0.947650124,-0.31893821,0.258435051,-0.309882052,-1
Corona Extra,Grupo Modelo S.A. de C.V.,55,http://beeradvocate.com/beer/profile/75/232/?sort=topr,American Adjunct Lager,1.256430475,-0.792489923,-0.690362379,-0.428077215,0.47811351,-0.399721939,-0.894237492
Beck's Premier Light,Brauerei Beck &amp; Co.,55,http://beeradvocate.com/beer/profile/32/22869/?sort=topr,Light Lager,1.44625737,-0.938446449,-0.923460363,-0.680371438,0.487603805,-0.050346618,-0.686277504
Magnum,Miller Brewing Co.,55,http://beeradvocate.com/beer/profile/105/809/?sort=topr,American Malt Liquor,0.861675627,-0.660726694,-0.602941921,-0.103185939,0.345417918,-0.32646396,-0.898283052
Miller High Life Light,Miller Brewing Co.,55,http://beeradvocate.com/beer/profile/105/2295/?sort=topr,Light Lager,1.613380085,-0.894394872,-0.890569837,-0.451625214,0.186561344,-0.490848488,-1
Michelob Light,Anheuser-Busch,55,http://beeradvocate.com/beer/profile/29/1253/?sort=topr,Light Lager,1.265484559,-0.826086793,-0.67561773,-0.312271732,0.06182848,-0.295673741,-0.734082837
Bud Light Platinum,Anheuser-Busch,55,http://beeradvocate.com/beer/profile/29/76899/?sort=topr,Light Lager,1.276455429,-0.801242049,-0.649873105,-0.245781408,0.390489677,-0.664606544,-1
Coors Light Iced T,Coors Brewing Company,56,http://beeradvocate.com/beer/profile/306/79910/?sort=topr,American Adjunct Lager,0.542040945,-0.650787823,0.049396029,-0.058452425,0.813780721,-0.691331122,-1
Camo Silver Ice,Camo Brewing Company,56,http://beeradvocate.com/beer/profile/881/9970/?sort=topr,American Malt Liquor,0.719856418,-0.463666262,-0.269572791,-0.143072215,0.62430056,-0.655224908,-1
St. Ides High Gravity Malt Liquor,Saint Ides Brewing Company,56,http://beeradvocate.com/beer/profile/289/798/?sort=topr,American Malt Liquor,0.560327271,-0.587324593,-0.409880842,0.223923189,0.338533784,-0.60207556,-0.579340081
Super Brew 15,S. C. Martens S. A.,56,http://beeradvocate.com/beer/profile/2888/67926/?sort=topr,English Barleywine,0.122913603,-0.321876883,0.252786698,0.07960237,0.971564818,-0.813176059,-0.802501842
Dog Bite High Gravity Lager,Genesee Brewing Co. / Dundee Brewing Co.,56,http://beeradvocate.com/beer/profile/302/63623/?sort=topr,American Malt Liquor,0.570829047,-0.184188954,-0.24507399,-0.079239839,0.399682997,-0.615822041,-1
Colt 45 Malt Liquor,Pabst Brewing Company,56,http://beeradvocate.com/beer/profile/447/1334/?sort=topr,American Malt Liquor,0.841936598,-0.647759544,-0.792527076,0.077451533,0.249804461,-0.392205767,-0.811023336
Famosa (Gallo),"CervecerÃ_a Centro Americana, S.A.",56,http://beeradvocate.com/beer/profile/888/5294/?sort=topr,American Adjunct Lager,1.020924452,-0.781415819,-0.773498664,-0.377910725,0.343835296,0.071418997,-0.81432218
Budweiser,Anheuser-Busch,56,http://beeradvocate.com/beer/profile/29/65/?sort=topr,American Adjunct Lager,1.099892997,-0.898550629,-0.726677902,-0.371898004,0.548499867,-0.119592177,-1
El Lapino,Microbrasserie du LiÃ¨vre,57,http://beeradvocate.com/beer/profile/3718/32748/?sort=topr,Chile Beer,0.193082062,-0.105589219,-0.629277406,-0.330134804,1.18054063,-0.856259947,3.938461598
Jaguar High Gravity Lager,Melanie Brewing Company,57,http://beeradvocate.com/beer/profile/1422/36683/?sort=topr,American Malt Liquor,0.701731468,-0.620553002,0.061614702,-0.062188725,0.447947928,-0.725587172,-1
Carlton Draught,"Carlton &amp; United Breweries, Ltd.",57,http://beeradvocate.com/beer/profile/353/3999/?sort=topr,American Adjunct Lager,0.79849659,-0.462915095,-0.910953887,-0.442216823,0.502955754,0.277454489,-1
Keystone Lager,Molson Coors Canada,57,http://beeradvocate.com/beer/profile/433/63584/?sort=topr,American Adjunct Lager,1.160433308,-0.779491178,-0.622982116,-0.471522703,0.717958343,-0.388697964,-1
Bud Light Lime-A-Rita,Anheuser-Busch,57,http://beeradvocate.com/beer/profile/29/82948/?sort=topr,American Malt Liquor,0.367182928,-0.620881243,-0.12001488,0.196331338,0.896778384,-0.756288492,-1
Cerveza Caguama,Cerveceria La Constancia S.A. / BevCo Ltd,57,http://beeradvocate.com/beer/profile/92/4586/?sort=topr,Light Lager,1.315840471,-0.747254162,-0.65429156,-0.560840395,0.800332026,-0.585690436,-1
Crown Lager,Crown Beverages,57,http://beeradvocate.com/beer/profile/16023/1540/?sort=topr,American Adjunct Lager,0.676714561,-0.69855044,-0.826996123,-0.26364448,0.828704605,0.117978188,-1
Michelob Ultra Amber,Anheuser-Busch,57,http://beeradvocate.com/beer/profile/29/28001/?sort=topr,Light Lager,1.081698078,-0.479808566,-0.703531931,-0.116917573,0.075219492,-0.561102331,-1
O'Doul's Amber,Anheuser-Busch,57,http://beeradvocate.com/beer/profile/29/5728/?sort=topr,Low Alcohol Beer,0.585149996,-0.458936688,-0.767110165,0.271789649,0.217623827,-0.45821057,-0.681808523
Beck's Light,Brauerei Beck &amp; Co.,57,http://beeradvocate.com/beer/profile/32/3008/?sort=topr,Light Lager,1.657319138,-0.958497985,-0.94839373,-0.676739295,0.398928857,-0.259657058,-1
Michelob Golden Draft Light,Anheuser-Busch,57,http://beeradvocate.com/beer/profile/29/2639/?sort=topr,Light Lager,1.533346846,-0.726574957,-0.975714696,-0.531930201,0.366323412,-0.453864666,-1
Tecate Light,"CervecerÃ_a CuauhtÃ©moc Moctezuma, S.A. de C.V.",57,http://beeradvocate.com/beer/profile/57/11704/?sort=topr,Light Lager,1.663491221,-0.829691211,-0.835287759,-0.591833435,0.17942736,-0.452596172,-1
Heineken Premium Light Lager,Heineken Nederland B.V.,57,http://beeradvocate.com/beer/profile/81/22478/?sort=topr,Light Lager,1.538175748,-0.876197378,-0.758087799,-0.756275036,0.282292868,-0.079089153,-0.909858589
Kirin Light Beer,"Kirin Brewery Company, Limited",57,http://beeradvocate.com/beer/profile/292/5287/?sort=topr,Light Lager,1.420917735,-0.84991052,-0.834105871,-0.560356358,0.378801252,-0.276377132,-0.660014586
Tooheys Red,Tooheys Brewing,58,http://beeradvocate.com/beer/profile/839/4001/?sort=topr,Euro Dark Lager,1.067586951,-0.71906328,-0.883555083,-0.663349799,-0.047077005,0.805964766,-1
Miller Lite Ice,Miller Brewing Co.,58,http://beeradvocate.com/beer/profile/105/2908/?sort=topr,Light Lager,1.230354434,-0.611470494,-0.806750988,-0.441303921,0.186085005,-0.175788421,-1
Molson Canadian 67,Molson Coors Canada,58,http://beeradvocate.com/beer/profile/433/53806/?sort=topr,Light Lager,1.925727022,-0.870719386,-0.919622092,-0.728892316,0.397760942,-0.75068097,-1
Camo Genuine Ale,Camo Brewing Company,58,http://beeradvocate.com/beer/profile/881/4683/?sort=topr,American Strong Ale,0.492081449,-0.539883168,-0.427861193,0.240569246,0.316834533,-0.445412395,-1
Amsterdam Maximator,Grolsch Bierbrouwerij N.V.,58,http://beeradvocate.com/beer/profile/506/17630/?sort=topr,Doppelbock,0.299723244,-0.135010626,0.075583316,0.20928296,-0.083125079,-0.536627461,-1
Boxer Lager,Mountain Crest Liquors,58,http://beeradvocate.com/beer/profile/9536/50819/?sort=topr,American Adjunct Lager,0.580301383,-0.8531788,0.460535246,-0.120311032,0.867537529,-0.823033603,-1
Black Label Beer,Pabst Brewing Company,58,http://beeradvocate.com/beer/profile/447/1325/?sort=topr,American Adjunct Lager,0.952237363,-0.666818908,-0.936261729,-0.170777399,0.303999888,-0.085611524,-0.869374025
Cantina,World Brews,58,http://beeradvocate.com/beer/profile/21092/11728/?sort=topr,American Adjunct Lager,1.399877711,-0.900621024,-0.629277406,-0.493879629,0.390489677,-0.401083113,-1
Ed Hardy Death Or Light Beer,Cervecera Mexicana S.A. De C.V.,58,http://beeradvocate.com/beer/profile/11174/52819/?sort=topr,American Adjunct Lager,1.35520672,-0.80714575,-0.730216726,-0.552244122,0.65582164,-0.465362906,-0.877133984
Kirin Lager,"Kirin Brewery Company, Limited",58,http://beeradvocate.com/beer/profile/292/807/?sort=topr,Japanese Rice Lager,1.028819696,-0.71906328,-0.854443853,-0.396835056,0.340047962,0.083578859,-0.761356392
Faxe Extra Strong,Royal Unibrew A/S,58,http://beeradvocate.com/beer/profile/783/2462/?sort=topr,Euro Strong Lager,0.335609961,-0.163278253,-0.52196297,-0.078641554,0.323176357,0.00306526,-0.769483574
Old Milwaukee Beer,Pabst Brewing Company,58,http://beeradvocate.com/beer/profile/447/1332/?sort=topr,American Adjunct Lager,0.96702704,-0.734387101,-0.807336591,-0.151233432,0.520345324,-0.359703401,-0.774373316
Victoria Bitter (VB),"Carlton &amp; United Breweries, Ltd.",58,http://beeradvocate.com/beer/profile/353/1541/?sort=topr,American Adjunct Lager,0.820416329,-0.645849468,-0.422009773,-0.403211007,0.717427126,-0.188957642,-1
Schlitz Bull Ice I.M.L.,JOS. Schlitz Brewing Co. (Pabst),58,http://beeradvocate.com/beer/profile/106/3963/?sort=topr,American Malt Liquor,0.665831283,-0.387658886,-0.401738089,0.048252124,0.140511878,-0.472809687,-1
Mountain Creek Classic Lager,Minhas Craft Brewery,58,http://beeradvocate.com/beer/profile/435/19529/?sort=topr,American Pale Lager,0.995114831,-0.792917779,-0.742500672,0.037715569,0.101510215,-0.34650141,-1
Amstel Light,Amstel Brouwerij B. V.,58,http://beeradvocate.com/beer/profile/163/436/?sort=topr,Light Lager,1.28709422,-0.7870928,-0.816716744,-0.509366299,0.29157388,-0.099852091,-0.83305649
Steel Reserve 211 (High Gravity),Steel Brewing Company,58,http://beeradvocate.com/beer/profile/257/718/?sort=topr,American Malt Liquor,0.660150699,-0.611912843,-0.534662246,0.237365161,0.040168791,-0.398582891,-0.858715739
Romulan Ale,"CervecerÃ_a Centro Americana, S.A.",59,http://beeradvocate.com/beer/profile/888/51478/?sort=topr,American Adjunct Lager,0.455925811,-0.644927201,-0.495405358,-0.331375295,1.580833112,-0.266326814,-1
Carlton Midstrength,"Carlton &amp; United Breweries, Ltd.",59,http://beeradvocate.com/beer/profile/353/4308/?sort=topr,Light Lager,0.916346794,-0.729468344,-0.663603572,-0.567757766,0.204388786,0.565169464,-1
Michelob Ultra Dragon Fruit Peach,Anheuser-Busch,59,http://beeradvocate.com/beer/profile/29/57440/?sort=topr,Light Lager,0.760608976,-0.840516273,0.705485822,-0.46488789,0.866314251,-0.784703764,-1
BiÃ¨re Du DÃ©mon,Les Brasseurs de Gayant,59,http://beeradvocate.com/beer/profile/813/2525/?sort=topr,Euro Strong Lager,0.531061223,0.017062049,-0.655087207,0.015632464,0.411291018,-0.613660702,-0.842918132
Four O Street Legal Malt Liquor,Copper Mountain Beverage Company,59,http://beeradvocate.com/beer/profile/20481/50748/?sort=topr,American Malt Liquor,0.505649419,-0.272595381,-0.2085611,0.089573266,0.272211509,-0.620072973,-1
Southpaw Light,Miller Brewing Co.,59,http://beeradvocate.com/beer/profile/105/1248/?sort=topr,Light Lager,1.450698651,-1,-0.792225736,-0.485123222,0.2145097,-0.148363674,-1
Stroh's Light,Pabst Brewing Company,59,http://beeradvocate.com/beer/profile/447/1724/?sort=topr,Light Lager,1.583843569,-0.954771797,-0.915640524,-0.471573833,0.380705764,-0.476661603,-1
Coors Non-Alcoholic,Coors Brewing Company,59,http://beeradvocate.com/beer/profile/306/8588/?sort=topr,Low Alcohol Beer,0.96108436,-0.691054483,-0.835358848,-0.193463415,0.347335232,-0.148850443,-0.887527484
Bahia Lager,"CervecerÃ_a Centro Americana, S.A.",59,http://beeradvocate.com/beer/profile/888/15734/?sort=topr,American Adjunct Lager,1.113048953,-0.801990384,-0.534921806,-0.261803173,0.343276993,-0.405989902,-1
Michelob Ultra Fruit Lime Cactus,Anheuser-Busch,59,http://beeradvocate.com/beer/profile/29/36812/?sort=topr,Light Lager,1.131753442,-0.706146649,-0.243108037,-0.333471297,0.655292962,-0.878564438,-1
St. Pauli N. A.,St. Pauli Brauerei C.L. Wilh. Brandt Gmbh &amp; Co.,59,http://beeradvocate.com/beer/profile/224/826/?sort=topr,Low Alcohol Beer,1.033127168,-0.833518981,-0.922370055,-0.152140234,0.270563994,-0.097017617,-0.787872349
Olde English 800 High Gravity,Miller Brewing Co.,59,http://beeradvocate.com/beer/profile/105/4546/?sort=topr,American Malt Liquor,0.517585591,-0.404982341,-0.43870933,0.253927435,-0.00826413,-0.426251081,-0.79085167
Sol,"CervecerÃ_a CuauhtÃ©moc Moctezuma, S.A. de C.V.",59,http://beeradvocate.com/beer/profile/57/2803/?sort=topr,American Adjunct Lager,1.499495276,-0.842493699,-0.926554958,-0.504552534,0.427458099,-0.449448477,-0.799307802
OB Lager Beer,"Oriental Brewery Co., Ltd",59,http://beeradvocate.com/beer/profile/874/2762/?sort=topr,American Adjunct Lager,1.203776872,-0.797612338,-0.656824802,-0.437785684,0.099941971,-0.041974359,-0.812451371
Lone Star Beer,Pabst Brewing Company,59,http://beeradvocate.com/beer/profile/447/1719/?sort=topr,American Adjunct Lager,1.20182955,-0.875896886,-0.581137457,-0.277672869,0.217752323,-0.333283396,-1
Lazy Mutt Farmhouse Ale,Minhas Craft Brewery,59,http://beeradvocate.com/beer/profile/435/39840/?sort=topr,Saison / Farmhouse Ale,0.73815143,-0.48057922,0.271578499,-0.474825686,0.156213234,-0.342628825,-0.255431944
Buck Range Light,Genesee Brewing Co. / Dundee Brewing Co.,60,http://beeradvocate.com/beer/profile/302/66259/?sort=topr,Light Lager,1.82602422,-0.795205008,-0.83022984,-0.836394295,0.649803597,-0.736700464,-1
Mountain Crest Classic Lager,Mountain Crest Liquors,60,http://beeradvocate.com/beer/profile/9536/17918/?sort=topr,American Adjunct Lager,1.146423,-0.474506855,-0.542597662,-0.433265129,0.069467534,-0.290606646,-1
Molson Canadian 6.0 Cold Shots,Molson Coors Canada,60,http://beeradvocate.com/beer/profile/433/17431/?sort=topr,American Adjunct Lager,0.974756516,-0.612421995,-0.851710962,-0.16043562,0.441052938,-0.338795757,-1
Boris Bold,Brasserie de Saverne,60,http://beeradvocate.com/beer/profile/3218/24197/?sort=topr,Euro Strong Lager,0.300578888,0.237027814,-0.45064293,0.041172195,0.386157139,-0.573996215,-1
Desperados,Brasserie Fischer / Fischer Biere d' Alsace,60,http://beeradvocate.com/beer/profile/197/15804/?sort=topr,Euro Pale Lager,0.499882616,-0.501409235,0.487951437,-0.133671496,0.648914535,-0.855769367,-1
Bavaria Red,Bavaria Brouwerij N.V.,60,http://beeradvocate.com/beer/profile/498/17726/?sort=topr,Euro Strong Lager,-0.482404753,0.085782457,0.012598708,0.744666921,0.569425541,-0.714462328,-0.874228369
Bavaria 8.6 Original,Bavaria Brouwerij N.V.,60,http://beeradvocate.com/beer/profile/498/1423/?sort=topr,Euro Strong Lager,0.615387884,-0.250215245,-0.639097872,0.057884242,0.292125717,-0.463592584,-1
Kronenbourg,Brasseries Kronenbourg,60,http://beeradvocate.com/beer/profile/1498/11583/?sort=topr,Euro Pale Lager,1.061564853,-0.763613116,-0.706061373,-0.433468917,0.473329971,-0.042663338,-1
Carling Beer,Molson Coors Canada,60,http://beeradvocate.com/beer/profile/433/8295/?sort=topr,American Adjunct Lager,1.174879712,-0.815662973,-0.856739691,-0.364931166,0.7292396,-0.377882169,-1
Carling Black Label,Molson Coors Canada,60,http://beeradvocate.com/beer/profile/433/8617/?sort=topr,American Adjunct Lager,1.203713794,-0.52362904,-0.830757077,-0.483524225,0.44270174,-0.321921925,-1
Old Milwaukee Ice,Pabst Brewing Company,60,http://beeradvocate.com/beer/profile/447/7484/?sort=topr,American Adjunct Lager,1.107252139,-0.602784336,-0.643277504,-0.35212635,0.375404716,-0.382916571,-1
Stack High Gravity Lager,United Brands Company,60,http://beeradvocate.com/beer/profile/21678/54660/?sort=topr,American Malt Liquor,0.315510006,-0.293838819,0.481770369,0.031309076,0.26312678,-0.744655133,-0.775054968
Beer 30 Ice,Melanie Brewing Company,60,http://beeradvocate.com/beer/profile/1422/49117/?sort=topr,American Adjunct Lager,0.780422097,-0.812708854,-0.22370055,-0.152140234,0.535264826,-0.41807802,-0.787872349
Beck's Alkoholfrei,Brauerei Beck &amp; Co.,60,http://beeradvocate.com/beer/profile/32/11093/?sort=topr,Low Alcohol Beer,0.953078948,-0.668924432,-0.742699616,-0.243729151,0.552886553,-0.321612102,-0.789074205
Brahma,Companhia Cervejaria Brahma,60,http://beeradvocate.com/beer/profile/2444/23381/?sort=topr,American Adjunct Lager,1.086918048,-0.782255009,-0.532326917,-0.300241994,0.183406403,-0.236502701,-0.798220039
Rock Light,Latrobe Brewing Co.,60,http://beeradvocate.com/beer/profile/174/41822/?sort=topr,Light Lager,1.529329559,-0.960834559,-0.780846295,-0.413344153,0.270351098,-0.490165979,-1
Hurricane High Gravity Lager,Anheuser-Busch,60,http://beeradvocate.com/beer/profile/29/25007/?sort=topr,American Malt Liquor,0.593965289,-0.433770953,-0.413262044,0.221335614,0.152371994,-0.617807457,-0.807605153
Country Club Malt Liquor,Pabst Brewing Company,60,http://beeradvocate.com/beer/profile/447/9317/?sort=topr,American Malt Liquor,0.803424813,-0.774672862,-0.556371806,-0.032455206,0.337521736,-0.275757061,-0.80859433
Kaliber,Guinness Ltd.,60,http://beeradvocate.com/beer/profile/209/5333/?sort=topr,Low Alcohol Beer,0.634782369,-0.309538609,-0.480342831,-0.031083873,0.317380484,-0.439342282,-1
